id;description;date;latitud;longitud;availabilityday;availabilitytime;statuseat;statusdrive;duration;intervalduration
1;Music;2020-05-26T00:00:55;85299;66364;RAM quantifying;cyan International;Apto;Cargado;Consultant;Convertible Marks Unbranded
2;infomediaries;2020-05-26T05:46:50;92696;30694;Executive;Unbranded;Apto;Cargado;Lao People's Democratic Republic;Shoes Generic
3;connect connecting;2020-05-26T17:44:58;62145;42722;back-end Ergonomic;Baby Associate Harbors;Apto;Cargado;Steel Unbranded Steel Chicken Avon;CFP Franc Specialist Inverse
4;Towels Hollow gold;2020-05-26T13:01:29;92884;65639;project sensor;Phased sticky;Apto;Problema;deposit Assimilated;Accountability
5;payment Accounts;2020-05-26T04:26:47;8593;63289;generating Nebraska;contingency enhance;Apto;Entregado;Table;Facilitator Bridge
6;Liaison Berkshire schemas;2020-05-26T08:37:16;28768;14335;Planner transmit Borders;Ergonomic SMS technologies;Apto;Cargado;Soft Latvian Lats Unions;Handcrafted
7;silver;2020-05-26T08:20:52;66045;90497;gold;Pakistan Plaza Cotton;NoApto;Entregado;hierarchy intuitive;SSL transmitting
8;Bedfordshire;2020-05-25T21:23:35;40931;96173;motivating;bypassing navigate Gloves;Cargado;Entregado;JBOD calculating Handcrafted Soft Keyboard;Trace reinvent Product
9;transition View;2020-05-26T00:25:36;43406;41445;Mouse overriding Djibouti Franc;algorithm Global SAS;Apto;Cargado;Refined microchip IB;Buckinghamshire Tokelau copying
10;back up;2020-05-26T05:33:51;65287;46304;Lesotho Keyboard synergistic;Corner hard drive SDD;Cargado;EnCamino;maximize;Way mobile
